bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
M000671	https://bioguideretro.congress.gov/Static_Files/data/M/M000671.xml	Lee warren Metcalf	Lee Metcalf	Q1288076	1	Metcalf	Lee warren	MT	Montana	Democrat	Democratic Party	87	87th United States Congress	1961-01-03T00:00:00Z	1963-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	88	88th United States Congress	1963-01-03T00:00:00Z	1965-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	89	89th United States Congress	1965-01-03T00:00:00Z	1967-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	90	90th United States Congress	1967-01-03T00:00:00Z	1969-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	91	91st United States Congress	1969-01-03T00:00:00Z	1971-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	92	92nd United States Congress	1971-01-03T00:00:00Z	1973-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								MT	Montana	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
T000162	https://bioguideretro.congress.gov/Static_Files/data/T/T000162.xml	Craig lyle Thomas	Craig L. Thomas	Q1138576	1	Thomas	Craig lyle	WY	Wyoming	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
G000158	https://bioguideretro.congress.gov/Static_Files/data/G/G000158.xml	Ernest willard Gibson	Ernest Willard Gibson	Q1356333	1	Gibson	Ernest willard	VT	Vermont	Republican	Republican Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
								VT	Vermont	Republican	Republican Party	74	74th United States Congress	1935-01-03T00:00:00Z	1937-01-03T00:00:00Z
								VT	Vermont	Republican	Republican Party	75	75th United States Congress	1937-01-03T00:00:00Z	1939-01-03T00:00:00Z
								VT	Vermont	Republican	Republican Party	76	76th United States Congress	1939-01-03T00:00:00Z	1941-01-03T00:00:00Z
H000905	https://bioguideretro.congress.gov/Static_Files/data/H/H000905.xml	Walter darlington Huddleston	Walter Huddleston	Q4356720	1	Huddleston	Walter darlington	KY	Kentucky	Democrat	Democratic Party	93	93rd United States Congress	1973-01-03T00:00:00Z	1975-01-03T00:00:00Z
								KY	Kentucky	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								KY	Kentucky	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
								KY	Kentucky	Democrat	Democratic Party	96	96th United States Congress	1979-01-03T00:00:00Z	1981-01-03T00:00:00Z
								KY	Kentucky	Democrat	Democratic Party	97	97th United States Congress	1981-01-03T00:00:00Z	1983-01-03T00:00:00Z
								KY	Kentucky	Democrat	Democratic Party	98	98th United States Congress	1983-01-03T00:00:00Z	1983-01-03T00:00:00Z
O000034	https://bioguideretro.congress.gov/Static_Files/data/O/O000034.xml	Wilbert lee (pappy) O'daniel	William Lee O'Daniel	Q676664	1	O'daniel	Wilbert lee (pappy)	TX	Texas	Democrat	Democratic Party	77	77th United States Congress	1941-01-03T00:00:00Z	1943-01-03T00:00:00Z
								TX	Texas	Democrat	Democratic Party	78	78th United States Congress	1943-01-03T00:00:00Z	1945-01-03T00:00:00Z
								TX	Texas	Democrat	Democratic Party	79	79th United States Congress	1945-01-03T00:00:00Z	1947-01-03T00:00:00Z
								TX	Texas	Democrat	Democratic Party	80	80th United States Congress	1947-01-03T00:00:00Z	1949-01-03T00:00:00Z
M000895	https://bioguideretro.congress.gov/Static_Files/data/M/M000895.xml	Edward hall Moore	Edward Hall Moore	Q1292437	1	Moore	Edward hall	OK	Oklahoma	Republican	Republican Party	78	78th United States Congress	1943-01-03T00:00:00Z	1945-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	79	79th United States Congress	1945-01-03T00:00:00Z	1947-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	80	80th United States Congress	1947-01-03T00:00:00Z	1949-01-03T00:00:00Z
M000659	https://bioguideretro.congress.gov/Static_Files/data/M/M000659.xml	Augustus summerfield Merrimon	Augustus Summerfield Merrimon	Q4821551	1	Merrimon	Augustus summerfield	NC	North Carolina	Democrat	Democratic Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
								NC	North Carolina	Democrat	Democratic Party	44	44th United States Congress	1875-03-04T00:00:00Z	1877-03-04T00:00:00Z
								NC	North Carolina	Democrat	Democratic Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
W000368	https://bioguideretro.congress.gov/Static_Files/data/W/W000368.xml	Francis shelley (frank) White	Francis S. White	Q1441721	1	White	Francis shelley (frank)	AL	Alabama	Democrat	Democratic Party	63	63rd United States Congress	1913-03-04T00:00:00Z	1915-03-04T00:00:00Z
G000164	https://bioguideretro.congress.gov/Static_Files/data/G/G000164.xml	Paris Gibson	Paris Gibson	Q785589	1	Gibson	Paris	MT	Montana	Democrat	Democratic Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								MT	Montana	Democrat	Democratic Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
