bioid	biourl	fullname	wiki_fullname	wikientity	wikientity_dupechk	lastname	firstname	state	district	party	wiki_party	congress	wiki_congress	start time	end time
								ME	Maine	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								ME	Maine	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
A000202	https://bioguideretro.congress.gov/Static_Files/data/A/A000202.xml	Wendell richard Anderson	Wendell Anderson	Q880779	1	Anderson	Wendell richard	MN	Minnesota	Democrat	Democratic Party	94	94th United States Congress	1975-01-03T00:00:00Z	1977-01-03T00:00:00Z
								MN	Minnesota	Democrat	Democratic Party	95	95th United States Congress	1977-01-03T00:00:00Z	1979-01-03T00:00:00Z
J000170	https://bioguideretro.congress.gov/Static_Files/data/J/J000170.xml	Richard mentor Johnson	Richard Mentor Johnson	Q109463	1	Johnson	Richard mentor	KY	Kentucky	Democratic Republican	Democratic-Republican Party	16	16th United States Congress	1819-03-04T00:00:00Z	1821-03-04T00:00:00Z
								KY	Kentucky	Democratic Republican	Democratic-Republican Party	17	17th United States Congress	1821-03-04T00:00:00Z	1823-03-04T00:00:00Z
								KY	Kentucky	Jackson Republican	Jackson Republican	18	18th United States Congress	1823-03-04T00:00:00Z	1825-03-04T00:00:00Z
								KY	Kentucky	Jacksonian	Jacksonian	19	19th United States Congress	1825-03-04T00:00:00Z	1827-03-04T00:00:00Z
								KY	Kentucky	Jacksonian	Jacksonian	20	20th United States Congress	1827-03-04T00:00:00Z	1829-03-04T00:00:00Z
V000095	https://bioguideretro.congress.gov/Static_Files/data/V/V000095.xml	George Vickers	George Vickers	Q375231	1	Vickers	George	MD	Maryland	Democrat	Democratic Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	42	42nd United States Congress	1871-03-04T00:00:00Z	1873-03-04T00:00:00Z
H000735	https://bioguideretro.congress.gov/Static_Files/data/H/H000735.xml	David Holmes	David Holmes	Q375788	1	Holmes	David	MS	Mississippi	Democratic Republican	Democratic-Republican Party	16	16th United States Congress	1819-03-04T00:00:00Z	1821-03-04T00:00:00Z
								MS	Mississippi	Democratic Republican	Democratic-Republican Party	17	17th United States Congress	1821-03-04T00:00:00Z	1823-03-04T00:00:00Z
								MS	Mississippi	Jackson Republican	Jackson Republican	18	18th United States Congress	1823-03-04T00:00:00Z	1825-03-04T00:00:00Z
								MS	Mississippi	Jackson Republican	Jackson Republican	19	19th United States Congress	1825-03-04T00:00:00Z	1827-03-04T00:00:00Z
L000229	https://bioguideretro.congress.gov/Static_Files/data/L/L000229.xml	Michael Leib	Michael Leib	Q1928420	1	Leib	Michael	PA	Pennsylvania	Democratic Republican	Democratic-Republican Party	10	10th United States Congress	1807-03-04T00:00:00Z	1809-03-04T00:00:00Z
								PA	Pennsylvania	Democratic Republican	Democratic-Republican Party	11	11th United States Congress	1809-03-04T00:00:00Z	1811-03-04T00:00:00Z
								PA	Pennsylvania	Democratic Republican	Democratic-Republican Party	12	12th United States Congress	1811-03-04T00:00:00Z	1813-03-04T00:00:00Z
								PA	Pennsylvania	Democratic Republican	Democratic-Republican Party	13	13th United States Congress	1813-03-04T00:00:00Z	1815-03-04T00:00:00Z
E000044	https://bioguideretro.congress.gov/Static_Files/data/E/E000044.xml	Walter evans Edge	Walter Evans Edge	Q882266	1	Edge	Walter evans	NJ	New Jersey	Republican	Republican Party	66	66th United States Congress	1919-03-04T00:00:00Z	1921-03-04T00:00:00Z
								NJ	New Jersey	Republican	Republican Party	67	67th United States Congress	1921-03-04T00:00:00Z	1923-03-04T00:00:00Z
								NJ	New Jersey	Republican	Republican Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
								NJ	New Jersey	Republican	Republican Party	69	69th United States Congress	1925-03-04T00:00:00Z	1927-03-04T00:00:00Z
								NJ	New Jersey	Republican	Republican Party	70	70th United States Congress	1927-03-04T00:00:00Z	1929-03-04T00:00:00Z
								NJ	New Jersey	Republican	Republican Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
E000078	https://bioguideretro.congress.gov/Static_Files/data/E/E000078.xml	Ninian Edwards	Ninian Edwards	Q744084	1	Edwards	Ninian	IL	Illinois	Democratic Republican	Democratic-Republican Party	15	15th United States Congress	1817-03-04T00:00:00Z	1819-03-04T00:00:00Z
								IL	Illinois	Democratic Republican	Democratic-Republican Party	16	16th United States Congress	1819-03-04T00:00:00Z	1821-03-04T00:00:00Z
								IL	Illinois	Democratic Republican	Democratic-Republican Party	17	17th United States Congress	1821-03-04T00:00:00Z	1823-03-04T00:00:00Z
								IL	Illinois	Adams-Clay Republican	Adams-Clay Republican	18	18th United States Congress	1823-03-04T00:00:00Z	1825-03-04T00:00:00Z
D000345	https://bioguideretro.congress.gov/Static_Files/data/D/D000345.xml	Clarence cleveland Dill	Clarence Dill	Q372316	1	Dill	Clarence cleveland	WA	Washington	Democrat	Democratic Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
								WA	Washington	Democrat	Democratic Party	69	69th United States Congress	1925-03-04T00:00:00Z	1927-03-04T00:00:00Z
								WA	Washington	Democrat	Democratic Party	70	70th United States Congress	1927-03-04T00:00:00Z	1929-03-04T00:00:00Z
								WA	Washington	Democrat	Democratic Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
								WA	Washington	Democrat	Democratic Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
								WA	Washington	Democrat	Democratic Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
L000201	https://bioguideretro.congress.gov/Static_Files/data/L/L000201.xml	Richard henry Lee	Richard Henry Lee	Q725907	1	Lee	Richard henry	VA	Virginia	Anti-Administration	Anti-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								VA	Virginia	Anti-Administration	Anti-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
E000285	https://bioguideretro.congress.gov/Static_Files/data/E/E000285.xml	Michael b. Enzi	Mike Enzi	Q432431	1	Enzi	Michael b.	WY	Wyoming	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								WY	Wyoming	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
H000279	https://bioguideretro.congress.gov/Static_Files/data/H/H000279.xml	William henry Harrison	William Henry Harrison	Q11869	1	Harrison	William henry	OH	Ohio	Adams	Adams	19	19th United States Congress	1825-03-04T00:00:00Z	1827-03-04T00:00:00Z
								OH	Ohio	Adams	Adams	20	20th United States Congress	1827-03-04T00:00:00Z	1829-03-04T00:00:00Z
C000651	https://bioguideretro.congress.gov/Static_Files/data/C/C000651.xml	Lebaron bradford Colt	LeBaron Bradford Colt	Q1809673	1	Colt	Lebaron bradford	RI	Rhode Island	Republican	Republican Party	63	63rd United States Congress	1913-03-04T00:00:00Z	1915-03-04T00:00:00Z
								RI	Rhode Island	Republican	Republican Party	64	64th United States Congress	1915-03-04T00:00:00Z	1917-03-04T00:00:00Z
								RI	Rhode Island	Republican	Republican Party	65	65th United States Congress	1917-03-04T00:00:00Z	1919-03-04T00:00:00Z
								RI	Rhode Island	Republican	Republican Party	66	66th United States Congress	1919-03-04T00:00:00Z	1921-03-04T00:00:00Z
								RI	Rhode Island	Republican	Republican Party	67	67th United States Congress	1921-03-04T00:00:00Z	1923-03-04T00:00:00Z
								RI	Rhode Island	Republican	Republican Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
A000028	https://bioguideretro.congress.gov/Static_Files/data/A/A000028.xml	Alva blanchard Adams	Alva B. Adams	Q742525	1	Adams	Alva blanchard	CO	Colorado	Democrat	Democratic Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	74	74th United States Congress	1935-01-03T00:00:00Z	1937-01-03T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	75	75th United States Congress	1937-01-03T00:00:00Z	1939-01-03T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	76	76th United States Congress	1939-01-03T00:00:00Z	1941-01-03T00:00:00Z
								CO	Colorado	Democrat	Democratic Party	77	77th United States Congress	1941-01-03T00:00:00Z	1943-01-03T00:00:00Z
R000006	https://bioguideretro.congress.gov/Static_Files/data/R/R000006.xml	George lovic pierce Radcliffe	George L. P. Radcliffe	Q5541476	1	Radcliffe	George lovic pierce	MD	Maryland	Democrat	Democratic Party	74	74th United States Congress	1935-01-03T00:00:00Z	1937-01-03T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	75	75th United States Congress	1937-01-03T00:00:00Z	1939-01-03T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	76	76th United States Congress	1939-01-03T00:00:00Z	1941-01-03T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	77	77th United States Congress	1941-01-03T00:00:00Z	1943-01-03T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	78	78th United States Congress	1943-01-03T00:00:00Z	1945-01-03T00:00:00Z
								MD	Maryland	Democrat	Democratic Party	79	79th United States Congress	1945-01-03T00:00:00Z	1947-01-03T00:00:00Z
W000633	https://bioguideretro.congress.gov/Static_Files/data/W/W000633.xml	Paine Wingate	Paine Wingate	Q1638165	1	Wingate	Paine	NH	New Hampshire	Anti-Administration	Anti-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
								NH	New Hampshire	Anti-Administration	Anti-Administration	2	2nd United States Congress	1791-03-04T00:00:00Z	1793-03-04T00:00:00Z
G000359	https://bioguideretro.congress.gov/Static_Files/data/G/G000359.xml	Lindsey o. Graham	Lindsey Graham	Q22212	1	Graham	Lindsey o.	SC	South Carolina	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								SC	South Carolina	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
B000593	https://bioguideretro.congress.gov/Static_Files/data/B/B000593.xml	James caleb Boggs	James Caleb Boggs	Q887153	1	Boggs	James caleb	DE	Delaware	Republican	Republican Party	87	87th United States Congress	1961-01-03T00:00:00Z	1963-01-03T00:00:00Z
								DE	Delaware	Republican	Republican Party	88	88th United States Congress	1963-01-03T00:00:00Z	1965-01-03T00:00:00Z
								DE	Delaware	Republican	Republican Party	89	89th United States Congress	1965-01-03T00:00:00Z	1967-01-03T00:00:00Z
								DE	Delaware	Republican	Republican Party	90	90th United States Congress	1967-01-03T00:00:00Z	1969-01-03T00:00:00Z
								DE	Delaware	Republican	Republican Party	91	91st United States Congress	1969-01-03T00:00:00Z	1971-01-03T00:00:00Z
								DE	Delaware	Republican	Republican Party	92	92nd United States Congress	1971-01-03T00:00:00Z	1973-01-03T00:00:00Z
K000098	https://bioguideretro.congress.gov/Static_Files/data/K/K000098.xml	John benjamin Kendrick	John B. Kendrick	Q437232	1	Kendrick	John benjamin	WY	Wyoming	Democrat	Democratic Party	65	65th United States Congress	1917-03-04T00:00:00Z	1919-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	66	66th United States Congress	1919-03-04T00:00:00Z	1921-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	67	67th United States Congress	1921-03-04T00:00:00Z	1923-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	68	68th United States Congress	1923-03-04T00:00:00Z	1925-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	69	69th United States Congress	1925-03-04T00:00:00Z	1927-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	70	70th United States Congress	1927-03-04T00:00:00Z	1929-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	71	71st United States Congress	1929-03-04T00:00:00Z	1931-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	72	72nd United States Congress	1931-03-04T00:00:00Z	1933-03-04T00:00:00Z
								WY	Wyoming	Democrat	Democratic Party	73	73rd United States Congress	1933-03-04T00:00:00Z	1935-01-03T00:00:00Z
T000377	https://bioguideretro.congress.gov/Static_Files/data/T/T000377.xml	William allen Trimble	William A. Trimble	Q340200	1	Trimble	William allen	OH	Ohio	Democratic Republican	Democratic-Republican Party	16	16th United States Congress	1819-03-04T00:00:00Z	1821-03-04T00:00:00Z
								OH	Ohio	Democratic Republican	Democratic-Republican Party	17	17th United States Congress	1821-03-04T00:00:00Z	1823-03-04T00:00:00Z
G000403	https://bioguideretro.congress.gov/Static_Files/data/G/G000403.xml	William Grayson	William Grayson	Q471060	1	Grayson	William	VA	Virginia	Anti-Administration	Anti-Administration	1	1st United States Congress	1789-03-04T00:00:00Z	1791-03-04T00:00:00Z
N000108	https://bioguideretro.congress.gov/Static_Files/data/N/N000108.xml	John milton Niles	John Milton Niles	Q302111	1	Niles	John milton	CT	Connecticut	Jacksonian	Jacksonian	24	24th United States Congress	1835-03-04T00:00:00Z	1837-03-04T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	25	25th United States Congress	1837-03-04T00:00:00Z	1839-03-04T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	28	28th United States Congress	1843-03-04T00:00:00Z	1845-03-04T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	29	29th United States Congress	1845-03-04T00:00:00Z	1847-03-04T00:00:00Z
								CT	Connecticut	Democrat	Democratic Party	30	30th United States Congress	1847-03-04T00:00:00Z	1849-03-04T00:00:00Z
M001020	https://bioguideretro.congress.gov/Static_Files/data/M/M001020.xml	Oliver hazard perry throck Morton	Oliver P. Morton	Q880811	1	Morton	Oliver hazard perry throck	IN	Indiana	Republican	Republican Party	40	40th United States Congress	1867-03-04T00:00:00Z	1869-03-04T00:00:00Z
								IN	Indiana	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
								IN	Indiana	Republican	Republican Party	42	42nd United States Congress	1871-03-04T00:00:00Z	1873-03-04T00:00:00Z
								IN	Indiana	Republican	Republican Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
								IN	Indiana	Republican	Republican Party	44	44th United States Congress	1875-03-04T00:00:00Z	1877-03-04T00:00:00Z
								IN	Indiana	Republican	Republican Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
G000365	https://bioguideretro.congress.gov/Static_Files/data/G/G000365.xml	William philip (phil) Gramm	Phil Gramm	Q2613704	1	Gramm	William philip (phil)	TX	Texas	Republican	Republican Party	99	99th United States Congress	1985-01-03T00:00:00Z	1987-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	100	100th United States Congress	1987-01-03T00:00:00Z	1989-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	101	101st United States Congress	1989-01-03T00:00:00Z	1991-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	102	102nd United States Congress	1991-01-03T00:00:00Z	1993-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	103	103rd United States Congress	1993-01-03T00:00:00Z	1995-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								TX	Texas	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
I000024	https://bioguideretro.congress.gov/Static_Files/data/I/I000024.xml	James mountain Inhofe	Jim Mountain Inhofe	Q723134	1	Inhofe	James mountain	OK	Oklahoma	Republican	Republican Party	103	103rd United States Congress	1993-01-03T00:00:00Z	1995-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	104	104th United States Congress	1995-01-03T00:00:00Z	1997-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	105	105th United States Congress	1997-01-03T00:00:00Z	1999-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	106	106th United States Congress	1999-01-03T00:00:00Z	2001-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	107	107th United States Congress	2001-01-03T00:00:00Z	2003-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	108	108th United States Congress	2003-01-03T00:00:00Z	2005-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	109	109th United States Congress	2005-01-03T00:00:00Z	2007-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	110	110th United States Congress	2007-01-03T00:00:00Z	2009-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								OK	Oklahoma	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
B000356	https://bioguideretro.congress.gov/Static_Files/data/B/B000356.xml	George harrison Bender	George H. Bender	Q1507456	1	Bender	George harrison	OH	Ohio	Republican	Republican Party	83	83rd United States Congress	1953-01-03T00:00:00Z	1955-01-03T00:00:00Z
								OH	Ohio	Republican	Republican Party	84	84th United States Congress	1955-01-03T00:00:00Z	1957-01-03T00:00:00Z
P000045	https://bioguideretro.congress.gov/Static_Files/data/P/P000045.xml	William adams Palmer	William A. Palmer	Q283798	1	Palmer	William adams	VT	Vermont	Democratic Republican	Democratic-Republican Party	15	15th United States Congress	1817-03-04T00:00:00Z	1819-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	16	16th United States Congress	1819-03-04T00:00:00Z	1821-03-04T00:00:00Z
								VT	Vermont	Democratic Republican	Democratic-Republican Party	17	17th United States Congress	1821-03-04T00:00:00Z	1823-03-04T00:00:00Z
								VT	Vermont	Adams-Clay Republican	Adams-Clay Republican	18	18th United States Congress	1823-03-04T00:00:00Z	1825-03-04T00:00:00Z
A000160	https://bioguideretro.congress.gov/Static_Files/data/A/A000160.xml	William boyd Allison	William B. Allison	Q5552354	1	Allison	William boyd	IA	Iowa	Republican	Republican Party	43	43rd United States Congress	1873-03-04T00:00:00Z	1875-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	44	44th United States Congress	1875-03-04T00:00:00Z	1877-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	45	45th United States Congress	1877-03-04T00:00:00Z	1879-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	46	46th United States Congress	1879-03-04T00:00:00Z	1881-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	47	47th United States Congress	1881-03-04T00:00:00Z	1883-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	48	48th United States Congress	1883-03-04T00:00:00Z	1885-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	49	49th United States Congress	1885-03-04T00:00:00Z	1887-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	50	50th United States Congress	1887-03-04T00:00:00Z	1889-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	51	51st United States Congress	1889-03-04T00:00:00Z	1891-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	52	52nd United States Congress	1891-03-04T00:00:00Z	1893-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	53	53rd United States Congress	1893-03-04T00:00:00Z	1895-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	54	54th United States Congress	1895-03-04T00:00:00Z	1897-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	59	59th United States Congress	1905-03-04T00:00:00Z	1907-03-04T00:00:00Z
								IA	Iowa	Republican	Republican Party	60	60th United States Congress	1907-03-04T00:00:00Z	1909-03-04T00:00:00Z
R000166	https://bioguideretro.congress.gov/Static_Files/data/R/R000166.xml	Hiram rhodes Revels	Hiram Rhodes Revels	Q719200	1	Revels	Hiram rhodes	MS	Mississippi	Republican	Republican Party	41	41st United States Congress	1869-03-04T00:00:00Z	1871-03-04T00:00:00Z
K000107	https://bioguideretro.congress.gov/Static_Files/data/K/K000107.xml	John fitzgerald Kennedy	John F. Kennedy	Q9696	1	Kennedy	John fitzgerald	MA	Massachusetts	Democrat	Democratic Party	83	83rd United States Congress	1953-01-03T00:00:00Z	1955-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	84	84th United States Congress	1955-01-03T00:00:00Z	1957-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	85	85th United States Congress	1957-01-03T00:00:00Z	1959-01-03T00:00:00Z
								MA	Massachusetts	Democrat	Democratic Party	86	86th United States Congress	1959-01-03T00:00:00Z	1961-01-03T00:00:00Z
H000457	https://bioguideretro.congress.gov/Static_Files/data/H/H000457.xml	John netherland Heiskell	John Netherland Heiskell	Q1027673	1	Heiskell	John netherland	AR	Arkansas	Democrat	Democratic Party	62	62nd United States Congress	1911-03-04T00:00:00Z	1913-03-04T00:00:00Z
P000079	https://bioguideretro.congress.gov/Static_Files/data/P/P000079.xml	Albion keith Parris	Albion Parris	Q370631	1	Parris	Albion keith	ME	Maine	Jacksonian	Jacksonian	20	20th United States Congress	1827-03-04T00:00:00Z	1829-03-04T00:00:00Z
M001197	https://bioguideretro.congress.gov/Static_Files/data/M/M001197.xml	Martha Mcsally	Martha McSally	Q6774492	1	Mcsally	Martha	AZ	Arizona	Republican	Republican Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
M001183	https://bioguideretro.congress.gov/Static_Files/data/M/M001183.xml	Joe, iii Manchin	Joe Manchin	Q538868	1	Manchin	Joe, iii	WV	West Virginia	Democrat	Democratic Party	111	111th United States Congress	2009-01-03T00:00:00Z	2011-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	112	112th United States Congress	2011-01-03T00:00:00Z	2013-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	113	113th United States Congress	2013-01-03T00:00:00Z	2015-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	114	114th United States Congress	2015-01-03T00:00:00Z	2017-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	115	115th United States Congress	2017-01-03T00:00:00Z	2019-01-03T00:00:00Z
								WV	West Virginia	Democrat	Democratic Party	116	116th United States Congress	2019-01-03T00:00:00Z	2021-01-03T00:00:00Z
B000418	https://bioguideretro.congress.gov/Static_Files/data/B/B000418.xml	James henderson Berry	James Henderson Berry	Q888624	1	Berry	James henderson	AR	Arkansas	Democrat	Democratic Party	49	49th United States Congress	1885-03-04T00:00:00Z	1887-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	50	50th United States Congress	1887-03-04T00:00:00Z	1889-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	51	51st United States Congress	1889-03-04T00:00:00Z	1891-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	52	52nd United States Congress	1891-03-04T00:00:00Z	1893-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	53	53rd United States Congress	1893-03-04T00:00:00Z	1895-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	54	54th United States Congress	1895-03-04T00:00:00Z	1897-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	55	55th United States Congress	1897-03-04T00:00:00Z	1899-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	56	56th United States Congress	1899-03-04T00:00:00Z	1901-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	57	57th United States Congress	1901-03-04T00:00:00Z	1903-03-04T00:00:00Z
								AR	Arkansas	Democrat	Democratic Party	58	58th United States Congress	1903-03-04T00:00:00Z	1905-03-04T00:00:00Z
