class	term	state	entity	bioguide_id	rowvalChk
I	22	ME	Q1700480	H000739	1
II	22	ME	Q2067943	S000744	1
I	22	MO	Q1317969	B000398	1
III	22	MO	Q915146	B001030	1
I	22	MS	Q295365	B000503	1
I	22	MS	Q5709686	E000136	1
II	22	MS	Q370596	P000402	1
II	22	NC	Q4879111	B000903	1
III	22	NC	Q1720552	M000096	1
II	22	NH	Q884049	B000345	1
III	22	NH	Q883848	H000593	1
I	22	NJ	Q879427	D000308	1
II	22	NJ	Q1389796	F000373	1
I	22	NY	Q5077087	D000511	1
III	22	NY	Q389258	M000127	1
III	22	NY	Q777453	W000770	0
I	22	OH	Q817669	R000500	1
III	22	OH	Q1335443	E000281	1
I	22	PA	Q1673379	B000154	1
I	22	PA	Q310849	D000011	1
III	22	PA	Q718718	W000475	1
I	22	RI	Q725105	R000297	1
II	22	RI	Q437985	K000287	1
II	22	SC	Q207191	C000044	1
II	22	SC	Q883789	H000398	1
III	22	SC	Q883777	M000755	1
I	22	TN	Q1375704	G000509	1
II	22	TN	Q1634433	W000376	1
I	22	VA	Q11881	T000450	1
II	22	VA	Q3568477	R000285	1
II	22	VA	Q682902	T000108	1
I	22	VT	Q6173735	S000268	1
III	22	VT	Q2218781	P000510	1
II	23	AL	Q298985	K000217	1
III	23	AL	Q774713	M000898	1
I	23	CT	Q1769220	S000594	1
III	23	CT	Q885017	T000300	1
I	23	DE	Q695839	N000010	1
II	23	DE	Q17889	C000496	1
II	23	GA	Q1701385	K000207	1
II	23	GA	Q357728	T000382	1
III	23	GA	Q2600438	C001023	1
III	23	GA	Q730958	F000284	1
II	23	IL	Q435094	R000344	1
III	23	IL	Q368062	K000006	1
I	23	IN	Q1701946	T000284	1
III	23	IN	Q888366	H000494	1
II	23	KY	Q1378961	B000433	1
III	23	KY	Q319630	C000482	1
II	23	LA	Q1506810	W000017	1
III	23	LA	Q166016	P000436	1
III	23	LA	Q1708664	J000194	1
I	23	MA	Q106231	W000238	1
II	23	MA	Q6176087	S000411	1
I	23	MD	Q774959	K000125	1
III	23	MD	Q433676	G000264	1
III	23	MD	Q5423148	C000282	1
I	23	ME	Q1371192	S000334	1
II	23	ME	Q2067943	S000744	1
II	23	ME	Q6083063	R000502	1
I	23	MO	Q1317969	B000398	1
III	23	MO	Q1822096	L000338	1
III	23	MO	Q915146	B001030	1
I	23	MS	Q295365	B000503	1
II	23	MS	Q370596	P000402	1
II	23	NC	Q4879111	B000903	1
III	23	NC	Q1720552	M000096	1
II	23	NH	Q884049	B000345	1
III	23	NH	Q883848	H000593	1
I	23	NJ	Q880272	S000689	1
II	23	NJ	Q1389796	F000373	1
I	23	NY	Q882536	T000032	1
III	23	NY	Q777453	W000770	1
I	23	OH	Q1395876	M000989	1
III	23	OH	Q1335443	E000281	1
I	23	PA	Q1286009	M000492	1
III	23	PA	Q12325	B001005	1
III	23	PA	Q718718	W000475	1
I	23	RI	Q725105	R000297	1
II	23	RI	Q437985	K000287	1
II	23	SC	Q207191	C000044	1
III	23	SC	Q1589403	P000519	1
I	23	TN	Q1375704	G000509	1
II	23	TN	Q1634433	W000376	1
I	23	VA	Q11881	T000450	1
II	23	VA	Q3568477	R000285	1
II	23	VA	Q817727	L000232	1
I	23	VT	Q817701	S001116	1
III	23	VT	Q2218781	P000510	1
II	24	AL	Q298985	K000217	1
III	24	AL	Q774713	M000898	1
II	24	AR	Q883159	F000425	1
III	24	AR	Q459260	S000256	1
I	24	CT	Q1769220	S000594	1
I	24	CT	Q302111	N000108	1
III	24	CT	Q885017	T000300	1
I	24	DE	Q2149664	B000251	1
I	24	DE	Q695839	N000010	1
II	24	DE	Q1674146	C000499	1
II	24	DE	Q17889	C000496	1
II	24	GA	Q1701385	K000207	1
III	24	GA	Q2600438	C001023	1
II	24	IL	Q435094	R000344	1
III	24	IL	Q368062	K000006	1
III	24	IL	Q734659	E000283	1
I	24	IN	Q1701946	T000284	1
III	24	IN	Q888366	H000494	1
II	24	KY	Q880239	C000912	1
III	24	KY	Q319630	C000482	1
II	24	LA	Q436527	N000085	1
III	24	LA	Q133830	M001050	1
III	24	LA	Q166016	P000436	1
I	24	MA	Q106231	W000238	1
II	24	MA	Q880346	D000117	1
I	24	MD	Q774959	K000125	1
III	24	MD	Q433362	S000719	1
III	24	MD	Q433676	G000264	1
I	24	ME	Q1371192	S000334	1
I	24	ME	Q5616448	D000022	1
II	24	ME	Q6083063	R000502	1
I	24	MI	Q3838979	L000544	1
II	24	MI	Q266798	N000158	1
I	24	MO	Q1317969	B000398	1
III	24	MO	Q1822096	L000338	1
I	24	MS	Q295365	B000503	1
II	24	MS	Q879106	W000067	1
II	24	NC	Q4879111	B000903	1
III	24	NC	Q1720552	M000096	1
III	24	NC	Q1728001	S000992	1
II	24	NH	Q433146	H000883	1
III	24	NH	Q883848	H000593	1
III	24	NH	Q884626	P000019	1
I	24	NJ	Q880272	S000689	1
II	24	NJ	Q1432382	W000071	1
I	24	NY	Q882536	T000032	1
III	24	NY	Q777453	W000770	1
I	24	OH	Q1395876	M000989	1
III	24	OH	Q1335443	E000281	1
I	24	PA	Q1286009	M000492	1
III	24	PA	Q12325	B001005	1
I	24	RI	Q725105	R000297	1
II	24	RI	Q437985	K000287	1
II	24	SC	Q207191	C000044	1
III	24	SC	Q1589403	P000519	1
I	24	TN	Q1375704	G000509	1
II	24	TN	Q1634433	W000376	1
I	24	VA	Q11881	T000450	1
I	24	VA	Q3568477	R000285	1
II	24	VA	Q2149386	P000069	1
II	24	VA	Q817727	L000232	1
I	24	VT	Q817701	S001116	1
III	24	VT	Q2218781	P000510	1
II	25	AL	Q298985	K000217	1
III	25	AL	Q304271	C000481	1
III	25	AL	Q926834	M000519	1
II	25	AR	Q883159	F000425	1
III	25	AR	Q459260	S000256	1
I	25	CT	Q302111	N000108	1
III	25	CT	Q2071802	S000600	1
I	25	DE	Q2149664	B000251	1
II	25	DE	Q1674146	C000499	1
II	25	GA	Q1701385	K000207	1
II	25	GA	Q357721	L000512	1
III	25	GA	Q2600438	C001023	1
II	25	IL	Q435094	R000344	1
III	25	IL	Q443156	Y000050	1
I	25	IN	Q1701946	T000284	1
III	25	IN	Q1420076	S000599	1
II	25	KY	Q880239	C000912	1
III	25	KY	Q319630	C000482	1
II	25	LA	Q436527	N000085	1
III	25	LA	Q133830	M001050	1
I	25	MA	Q106231	W000238	1
II	25	MA	Q880346	D000117	1
I	25	MD	Q382658	M000654	1
I	25	MD	Q774959	K000125	1
III	25	MD	Q433362	S000719	1
I	25	ME	Q6242897	W000532	1
II	25	ME	Q6083063	R000502	1
I	25	MI	Q3838979	L000544	1
II	25	MI	Q266798	N000158	1
I	25	MO	Q1317969	B000398	1
III	25	MO	Q1822096	L000338	1
I	25	MS	Q1680371	T000380	1
I	25	MS	Q295365	B000503	1
I	25	MS	Q4355159	W000539	1
II	25	MS	Q879106	W000067	1
II	25	NC	Q4879111	B000903	1
III	25	NC	Q1728001	S000992	1
II	25	NH	Q433146	H000883	1
III	25	NH	Q12312	P000333	1
I	25	NJ	Q880272	S000689	1
II	25	NJ	Q1432382	W000071	1
I	25	NY	Q882536	T000032	1
III	25	NY	Q777453	W000770	1
I	25	OH	Q1395876	M000989	1
III	25	OH	Q880659	A000150	1
I	25	PA	Q1286009	M000492	1
III	25	PA	Q12325	B001005	1
I	25	RI	Q725105	R000297	1
II	25	RI	Q437985	K000287	1
II	25	SC	Q207191	C000044	1
III	25	SC	Q1589403	P000519	1
I	25	TN	Q1346827	F000302	1
I	25	TN	Q1375704	G000509	1
II	25	TN	Q1634433	W000376	1
I	25	VA	Q3568477	R000285	1
II	25	VA	Q2149386	P000069	1
II	25	VA	Q2579089	R000293	1
I	25	VT	Q817701	S001116	1
III	25	VT	Q2218781	P000510	1
II	26	AL	Q298985	K000217	1
III	26	AL	Q304271	C000481	1
II	26	AR	Q883159	F000425	1
III	26	AR	Q459260	S000256	1
I	26	CT	Q1676846	H000997	1
I	26	CT	Q2408308	B000428	1
III	26	CT	Q2071802	S000600	1
I	26	DE	Q2149664	B000251	1
II	26	DE	Q1674146	C000499	1
II	26	GA	Q357721	L000512	1
III	26	GA	Q2600438	C001023	1
II	26	IL	Q435094	R000344	1
III	26	IL	Q443156	Y000050	1
I	26	IN	Q1720656	W000351	1
III	26	IN	Q1420076	S000599	1
II	26	KY	Q880239	C000912	1
III	26	KY	Q319630	C000482	1
II	26	LA	Q436527	N000085	1
III	26	LA	Q133830	M001050	1
I	26	MA	Q106231	W000238	1
I	26	MA	Q2174770	C000375	1
II	26	MA	Q1378587	B000233	1
II	26	MA	Q880346	D000117	1
I	26	MD	Q382658	M000654	1
III	26	MD	Q375214	K000139	1
III	26	MD	Q433362	S000719	1
I	26	ME	Q6242897	W000532	1
II	26	ME	Q6083063	R000502	1
I	26	MI	Q770621	P000437	1
II	26	MI	Q266798	N000158	1
I	26	MO	Q1317969	B000398	1
III	26	MO	Q1822096	L000338	1
I	26	MS	Q175218	H000482	1
II	26	MS	Q879106	W000067	1
II	26	NC	Q1720552	M000096	1
II	26	NC	Q4879111	B000903	1
III	26	NC	Q1728001	S000992	1
III	26	NC	Q730936	G000362	1
II	26	NH	Q433146	H000883	1
III	26	NH	Q12312	P000333	1
I	26	NJ	Q880272	S000689	1
II	26	NJ	Q1432382	W000071	1
I	26	NY	Q882536	T000032	1
III	26	NY	Q777453	W000770	1
I	26	OH	Q817709	T000039	1
III	26	OH	Q880659	A000150	1
I	26	PA	Q1162819	S001046	1
III	26	PA	Q12325	B001005	1
I	26	RI	Q1966536	D000376	1
II	26	RI	Q437985	K000287	1
II	26	SC	Q207191	C000044	1
III	26	SC	Q1589403	P000519	1
I	26	TN	Q1375704	G000509	1
I	26	TN	Q1766722	N000096	1
II	26	TN	Q1634433	W000376	1
II	26	TN	Q2622628	A000181	1
I	26	VA	Q3568477	R000285	1
II	26	VA	Q2579089	R000293	1
I	26	VT	Q2218848	P000299	1
III	26	VT	Q2218781	P000510	1
II	27	AL	Q298985	K000217	1
III	27	AL	Q304271	C000481	1
III	27	AL	Q710906	B000030	1
II	27	AR	Q883159	F000425	1
III	27	AR	Q459260	S000256	1
I	27	CT	Q1676846	H000997	1
III	27	CT	Q2071802	S000600	1
I	27	DE	Q2149664	B000251	1
II	27	DE	Q1674146	C000499	1
II	27	GA	Q1376165	B000413	1
III	27	GA	Q2600438	C001023	1
II	27	IL	Q435121	M000599	1
III	27	IL	Q443156	Y000050	1
I	27	IN	Q1720656	W000351	1
III	27	IN	Q1420076	S000599	1
II	27	KY	Q537302	M000938	1
III	27	KY	Q319630	C000482	1
III	27	KY	Q880239	C000912	1
II	27	LA	Q2622146	B000183	1
III	27	LA	Q1065426	C000703	1
III	27	LA	Q133830	M001050	1
I	27	MA	Q2174770	C000375	1
II	27	MA	Q1378587	B000233	1
I	27	MD	Q382658	M000654	1
III	27	MD	Q375214	K000139	1
I	27	ME	Q6242897	W000532	1
II	27	ME	Q377441	E000241	1
I	27	MI	Q770621	P000437	1
II	27	MI	Q883246	W000709	1
I	27	MO	Q1317969	B000398	1
III	27	MO	Q1822096	L000338	1
I	27	MS	Q175218	H000482	1
II	27	MS	Q879106	W000067	1
II	27	NC	Q1720552	M000096	1
III	27	NC	Q730936	G000362	1
II	27	NH	Q579228	W000711	1
III	27	NH	Q12312	P000333	1
III	27	NH	Q1374817	W000458	1
I	27	NJ	Q331182	D000166	1
I	27	NJ	Q880272	S000689	1
II	27	NJ	Q1677663	M000731	1
I	27	NY	Q882536	T000032	1
III	27	NY	Q777453	W000770	1
I	27	OH	Q817709	T000039	1
III	27	OH	Q880659	A000150	1
I	27	PA	Q1162819	S001046	1
III	27	PA	Q12325	B001005	1
I	27	RI	Q1966536	D000376	1
I	27	RI	Q883991	S000746	1
II	27	RI	Q1680364	S000417	1
II	27	SC	Q207191	C000044	1
III	27	SC	Q1589403	P000519	1
III	27	SC	Q884415	M000426	1
I	27	TN	Q1766722	N000096	1
I	27	VA	Q3568477	R000285	1
II	27	VA	Q1639662	A000275	1
I	27	VT	Q2218848	P000299	1
III	27	VT	Q2218781	P000510	1
III	27	VT	Q437227	C000851	1
II	28	AL	Q298985	K000217	1
II	28	AL	Q586407	L000278	1
III	28	AL	Q710906	B000030	1
II	28	AR	Q1070668	A000311	1
II	28	AR	Q883159	F000425	1
III	28	AR	Q459260	S000256	1
I	28	CT	Q1676846	H000997	1
III	28	CT	Q302111	N000108	1
I	28	DE	Q2149664	B000251	1
II	28	DE	Q1674146	C000499	1
II	28	GA	Q1376165	B000413	1
III	28	GA	Q5611116	C000648	1
II	28	IL	Q435121	M000599	1
II	28	IL	Q435130	S000239	1
III	28	IL	Q443088	B000793	1
I	28	IN	Q1720656	W000351	1
III	28	IN	Q826796	H000167	1
II	28	KY	Q537302	M000938	1
III	28	KY	Q880239	C000912	1
II	28	LA	Q2622146	B000183	1
III	28	LA	Q166016	P000436	0
III	28	LA	Q767426	J000137	1
I	28	MA	Q2174770	C000375	1
II	28	MA	Q1378587	B000233	1
I	28	MD	Q382658	M000654	1
III	28	MD	Q368739	P000161	1
I	28	ME	Q370652	F000006	1
II	28	ME	Q377441	E000241	1
I	28	MI	Q770621	P000437	1
II	28	MI	Q883246	W000709	1
I	28	MO	Q1317969	B000398	1
III	28	MO	Q1176322	A000322	1
III	28	MO	Q1822096	L000338	1
I	28	MS	Q175218	H000482	1
II	28	MS	Q879106	W000067	1
II	28	NC	Q1720552	M000096	1
III	28	NC	Q5794515	H000411	1
II	28	NH	Q579228	W000711	1
III	28	NH	Q5077912	A000323	1
I	28	NJ	Q331182	D000166	1
II	28	NJ	Q1677663	M000731	1
I	28	NY	Q1162460	D000317	1
I	28	NY	Q882536	T000032	1
III	28	NY	Q3661072	F000304	1
III	28	NY	Q720259	D000365	0
III	28	NY	Q777453	W000770	1
I	28	OH	Q817709	T000039	1
III	28	OH	Q880659	A000150	1
I	28	PA	Q1162819	S001046	1
III	28	PA	Q12325	B001005	1
I	28	RI	Q437997	F000336	1
I	28	RI	Q883991	S000746	1
II	28	RI	Q1680364	S000417	1
II	28	SC	Q1160550	H000917	1
III	28	SC	Q884415	M000426	1
I	28	TN	Q1346827	F000302	1
II	28	TN	Q1658224	J000059	1
I	28	VA	Q3568477	R000285	1
II	28	VA	Q1639662	A000275	1
I	28	VT	Q2218848	P000299	1
III	28	VT	Q2580835	U000025	1
II	29	AL	Q586407	L000278	1
III	29	AL	Q710906	B000030	1
II	29	AR	Q1070668	A000311	1
III	29	AR	Q459260	S000256	1
I	29	CT	Q1676846	H000997	1
III	29	CT	Q302111	N000108	1
I	29	DE	Q17889	C000496	1
II	29	DE	Q1674146	C000499	1
I	29	FL	Q2045896	Y000061	1
III	29	FL	Q1681287	W000308	1
II	29	GA	Q1376165	B000413	1
III	29	GA	Q5611116	C000648	1
II	29	IL	Q435130	S000239	1
III	29	IL	Q443088	B000793	1
I	29	IN	Q456037	B000835	1
III	29	IN	Q826796	H000167	1
II	29	KY	Q537302	M000938	1
III	29	KY	Q880239	C000912	1
II	29	LA	Q2622146	B000183	1
II	29	LA	Q434679	S000682	1
III	29	LA	Q767426	J000137	1
I	29	MA	Q106231	W000238	1
II	29	MA	Q1378587	B000233	1
II	29	MA	Q880346	D000117	1
I	29	MD	Q1373189	J000169	1
III	29	MD	Q368739	P000161	1
I	29	ME	Q370652	F000006	1
II	29	ME	Q377441	E000241	1
I	29	MI	Q503119	C000233	1
II	29	MI	Q883246	W000709	1
I	29	MO	Q1317969	B000398	1
III	29	MO	Q1176322	A000322	1
I	29	MS	Q1169404	S000715	1
II	29	MS	Q1365011	C000273	1
II	29	MS	Q879106	W000067	1
II	29	NC	Q1720552	M000096	1
III	29	NC	Q5794515	H000411	1
III	29	NC	Q925084	B000022	1
II	29	NH	Q1551158	C000396	1
II	29	NH	Q579228	W000711	1
II	29	NH	Q817890	J000094	1
III	29	NH	Q5077912	A000323	1
I	29	NJ	Q331182	D000166	1
II	29	NJ	Q1677663	M000731	1
I	29	NY	Q1162460	D000317	1
III	29	NY	Q720259	D000365	1
I	29	OH	Q879077	C000791	1
III	29	OH	Q880659	A000150	1
I	29	PA	Q1162819	S001046	1
III	29	PA	Q12325	B001005	1
III	29	PA	Q1348975	C000068	1
I	29	RI	Q2622636	G000424	1
II	29	RI	Q1680364	S000417	1
II	29	SC	Q207191	C000044	1
III	29	SC	Q4756489	B001173	1
III	29	SC	Q884415	M000426	1
I	29	TN	Q1627671	T000430	1
II	29	TN	Q1658224	J000059	1
I	29	TX	Q2290948	R000518	1
II	29	TX	Q216547	H000827	1
I	29	VA	Q167795	M000216	1
I	29	VA	Q431685	P000216	1
II	29	VA	Q1639662	A000275	1
I	29	VT	Q2218848	P000299	1
III	29	VT	Q2580835	U000025	1
I	3	CT	Q515858	E000147	1
III	3	CT	Q354721	S000349	1
III	3	CT	Q369829	M000828	1
I	3	DE	Q450169	L000115	1
I	3	DE	Q471303	R000091	1
II	3	DE	Q1700934	V000104	1
II	3	GA	Q357646	J000017	1
III	3	GA	Q956982	G000526	1
II	3	KY	Q433454	B000929	1
III	3	KY	Q432795	E000075	1
I	3	MA	Q382723	C000009	1
II	3	MA	Q546613	S001009	1
I	3	MD	Q6054920	P000473	1
III	3	MD	Q202950	H000508	1
II	3	NC	Q642264	M000166	1
III	3	NC	Q2896102	H000368	1
II	3	NH	Q450568	L000364	1
III	3	NH	Q554454	L000067	1
I	3	NJ	Q376716	R000550	1
II	3	NJ	Q5497813	F000368	1
I	3	NY	Q179090	B001133	1
III	3	NY	Q456794	K000212	1
I	3	PA	Q500046	G000020	0
I	3	PA	Q503524	R000448	1
III	3	PA	Q464876	M000985	1
I	3	RI	Q431894	F000313	1
II	3	RI	Q932530	B000739	1
II	3	SC	Q2530426	B001186	1
III	3	SC	Q969896	I000053	1
I	3	VA	Q11815	M000858	1
I	3	VA	Q331107	M000226	1
II	3	VA	Q6205057	T000086	1
II	3	VA	Q765041	T000107	1
I	3	VT	Q888648	R000350	1
III	3	VT	Q943343	B000745	1
II	30	AL	Q586407	L000278	1
II	30	AL	Q817483	F000174	1
III	30	AL	Q298985	K000217	1
III	30	AL	Q710906	B000030	1
II	30	AR	Q1070668	A000311	1
II	30	AR	Q433902	S000216	1
III	30	AR	Q1027380	B000642	1
III	30	AR	Q459260	S000256	1
I	30	CT	Q1676846	H000997	1
I	30	CT	Q884940	B000096	1
III	30	CT	Q302111	N000108	1
I	30	DE	Q1702088	W000043	1
I	30	DE	Q17889	C000496	1
II	30	DE	Q2108878	S000760	1
I	30	FL	Q2045896	Y000061	1
III	30	FL	Q1681287	W000308	1
II	30	GA	Q1376165	B000413	1
III	30	GA	Q357353	J000139	1
III	30	GA	Q5611116	C000648	1
II	30	IA	Q438644	J000221	1
III	30	IA	Q770219	D000394	1
II	30	IL	Q433174	D000457	1
III	30	IL	Q443088	B000793	1
I	30	IN	Q456037	B000835	1
III	30	IN	Q826796	H000167	1
II	30	KY	Q1534586	U000011	1
III	30	KY	Q735297	M000676	1
III	30	KY	Q880239	C000912	1
II	30	LA	Q2299278	D000476	1
III	30	LA	Q767426	J000137	1
I	30	MA	Q106231	W000238	1
II	30	MA	Q880346	D000117	1
I	30	MD	Q1373189	J000169	1
III	30	MD	Q368739	P000161	1
I	30	ME	Q1636152	M000889	1
I	30	ME	Q273546	H000121	1
I	30	ME	Q370652	F000006	1
II	30	ME	Q1257354	B000734	1
I	30	MI	Q1587977	F000167	1
I	30	MI	Q503119	C000233	1
II	30	MI	Q373179	F000063	1
I	30	MO	Q1317969	B000398	1
III	30	MO	Q1176322	A000322	1
I	30	MS	Q1169404	S000715	1
I	30	MS	Q162269	D000113	1
II	30	MS	Q365808	F000251	1
II	30	NC	Q1720552	M000096	1
III	30	NC	Q925084	B000022	1
II	30	NH	Q716927	H000034	1
III	30	NH	Q5077912	A000323	1
I	30	NJ	Q331182	D000166	1
II	30	NJ	Q1677663	M000731	1
I	30	NY	Q1162460	D000317	1
III	30	NY	Q720259	D000365	1
I	30	OH	Q879077	C000791	1
III	30	OH	Q880659	A000150	1
I	30	PA	Q1162819	S001046	1
III	30	PA	Q1348975	C000068	1
I	30	RI	Q2622636	G000424	1
II	30	RI	Q1700486	C000466	1
II	30	SC	Q207191	C000044	1
III	30	SC	Q4756489	B001173	1
I	30	TN	Q1627671	T000430	1
II	30	TN	Q1349142	B000340	1
I	30	TX	Q2290948	R000518	1
II	30	TX	Q216547	H000827	1
I	30	VA	Q167795	M000216	1
II	30	VA	Q1355895	H000988	1
I	30	VT	Q2218848	P000299	1
III	30	VT	Q2580835	U000025	1
I	30	WI	Q881703	D000396	1
III	30	WI	Q576915	W000055	1
II	31	AL	Q252776	C000501	1
II	31	AL	Q817483	F000174	1
III	31	AL	Q298985	K000217	1
II	31	AR	Q433902	S000216	1
III	31	AR	Q1027380	B000642	1
I	31	CA	Q169011	F000374	1
III	31	CA	Q5868980	G000540	1
I	31	CT	Q884940	B000096	1
III	31	CT	Q369368	S000621	1
I	31	DE	Q1702088	W000043	1
II	31	DE	Q2108878	S000760	1
I	31	FL	Q2045896	Y000061	1
III	31	FL	Q1677363	M001015	1
II	31	GA	Q1376165	B000413	1
III	31	GA	Q5618144	D000156	1
II	31	IA	Q438644	J000221	1
III	31	IA	Q770219	D000394	1
II	31	IL	Q433174	D000457	1
III	31	IL	Q923522	S000362	1
I	31	IN	Q456037	B000835	1
III	31	IN	Q882207	W000349	1
II	31	KY	Q1534586	U000011	1
III	31	KY	Q319630	C000482	1
II	31	LA	Q2299278	D000476	1
III	31	LA	Q434679	S000682	1
I	31	MA	Q106231	W000238	1
I	31	MA	Q1375119	W000646	1
I	31	MA	Q2158571	R000063	1
II	31	MA	Q880346	D000117	1
I	31	MD	Q1373189	J000169	1
I	31	MD	Q433462	S000905	1
I	31	MD	Q881245	P000506	1
III	31	MD	Q368739	P000161	1
I	31	ME	Q273546	H000121	1
II	31	ME	Q1257354	B000734	1
I	31	MI	Q503119	C000233	1
II	31	MI	Q373179	F000063	1
I	31	MO	Q1317969	B000398	1
III	31	MO	Q1176322	A000322	1
I	31	MS	Q162269	D000113	1
II	31	MS	Q365808	F000251	1
II	31	NC	Q1720552	M000096	1
III	31	NC	Q925084	B000022	1
II	31	NH	Q716927	H000034	1
III	31	NH	Q939960	N000140	1
I	31	NJ	Q331182	D000166	1
II	31	NJ	Q1677663	M000731	1
I	31	NY	Q1162460	D000317	1
III	31	NY	Q297308	S000261	1
I	31	OH	Q1335443	E000281	1
I	31	OH	Q879077	C000791	1
III	31	OH	Q433051	C000332	1
I	31	PA	Q1162819	S001046	1
III	31	PA	Q1680195	C000753	1
I	31	RI	Q2622636	G000424	1
II	31	RI	Q1700486	C000466	1
II	31	SC	Q207191	C000044	1
II	31	SC	Q2158607	R000184	1
II	31	SC	Q357725	S000605	1
II	31	SC	Q368185	E000158	1
III	31	SC	Q4756489	B001173	1
I	31	TN	Q1627671	T000430	1
II	31	TN	Q1349142	B000340	1
I	31	TX	Q2290948	R000518	1
II	31	TX	Q216547	H000827	1
I	31	VA	Q167795	M000216	1
II	31	VA	Q1355895	H000988	1
I	31	VT	Q2218848	P000299	1
III	31	VT	Q2580835	U000025	1
I	31	WI	Q881703	D000396	1
III	31	WI	Q576915	W000055	1
II	32	AL	Q252776	C000501	1
III	32	AL	Q298985	K000217	1
III	32	AL	Q817483	F000174	1
II	32	AR	Q433902	S000216	1
III	32	AR	Q1027380	B000642	1
I	32	CA	Q277673	W000274	1
III	32	CA	Q5868980	G000540	1
I	32	CT	Q881600	T000319	1
III	32	CT	Q369368	S000621	1
I	32	DE	Q1665539	B000248	1
II	32	DE	Q2108878	S000760	1
I	32	FL	Q594906	M000084	1
III	32	FL	Q1677363	M001015	1
II	32	GA	Q1376165	B000413	1
II	32	GA	Q2158142	C000324	1
III	32	GA	Q5618144	D000156	1
II	32	IA	Q438644	J000221	1
III	32	IA	Q770219	D000394	1
II	32	IL	Q433174	D000457	1
III	32	IL	Q923522	S000362	1
I	32	IN	Q456037	B000835	1
III	32	IN	Q1066341	C000250	1
III	32	IN	Q1701412	P000277	1
III	32	IN	Q882207	W000349	1
II	32	KY	Q1534586	U000011	1
III	32	KY	Q319630	C000482	1
III	32	KY	Q4786289	D000367	1
III	32	KY	Q883854	M000650	1
II	32	LA	Q2299278	D000476	1
III	32	LA	Q434679	S000682	1
I	32	MA	Q1066198	S001068	1
II	32	MA	Q880346	D000117	1
I	32	MD	Q881245	P000506	1
III	32	MD	Q368739	P000161	1
I	32	ME	Q273546	H000121	1
II	32	ME	Q1257354	B000734	1
I	32	MI	Q503119	C000233	1
II	32	MI	Q373179	F000063	1
I	32	MO	Q1607232	G000146	1
III	32	MO	Q1176322	A000322	1
I	32	MS	Q162269	D000113	1
I	32	MS	Q359294	M000596	1
I	32	MS	Q545567	A000048	1
II	32	MS	Q1729652	B000872	1
II	32	MS	Q365808	F000251	1
II	32	NC	Q1720552	M000096	1
III	32	NC	Q925084	B000022	1
II	32	NH	Q716927	H000034	1
III	32	NH	Q939960	N000140	1
I	32	NJ	Q878374	S000942	1
II	32	NJ	Q1677663	M000731	1
I	32	NY	Q685992	F000140	1
III	32	NY	Q297308	S000261	1
I	32	OH	Q817729	W000005	1
III	32	OH	Q433051	C000332	1
I	32	PA	Q2149145	B000861	1
III	32	PA	Q1680195	C000753	1
I	32	RI	Q5082957	J000046	1
II	32	RI	Q1700486	C000466	1
II	32	SC	Q1594736	D000270	1
II	32	SC	Q2158607	R000184	1
III	32	SC	Q4756489	B001173	1
I	32	TN	Q358277	J000229	1
II	32	TN	Q1349142	B000340	1
I	32	TX	Q2290948	R000518	1
II	32	TX	Q216547	H000827	1
I	32	VA	Q167795	M000216	1
II	32	VA	Q1355895	H000988	1
I	32	VT	Q1424080	F000248	1
III	32	VT	Q2218848	P000299	1
III	32	VT	Q2580835	U000025	1
I	32	WI	Q881703	D000396	1
III	32	WI	Q576915	W000055	1
II	33	AL	Q928988	C000480	1
III	33	AL	Q817483	F000174	1
II	33	AR	Q433902	S000216	1
III	33	AR	Q1027380	B000642	1
III	33	AR	Q2159151	J000172	1
I	33	CA	Q277673	W000274	1
III	33	CA	Q5868980	G000540	1
I	33	CT	Q881600	T000319	1
III	33	CT	Q1441508	G000204	1
III	33	CT	Q369368	S000621	1
I	33	DE	Q1665539	B000248	1
II	33	DE	Q17889	C000496	1
I	33	FL	Q594906	M000084	1
III	33	FL	Q1677363	M001015	1
II	33	GA	Q1970615	T000313	1
III	33	GA	Q5618144	D000156	1
II	33	IA	Q438644	J000221	1
III	33	IA	Q770219	D000394	1
II	33	IL	Q433174	D000457	1
III	33	IL	Q923522	S000362	1
I	33	IN	Q456037	B000835	1
III	33	IN	Q1701412	P000277	1
II	33	KY	Q1699467	T000208	1
III	33	KY	Q4786289	D000367	1
II	33	LA	Q466115	B000365	1
III	33	LA	Q3182472	S000487	1
III	33	LA	Q434679	S000682	1
I	33	MA	Q1066198	S001068	1
II	33	MA	Q1317660	R000368	1
II	33	MA	Q313302	W000585	0
II	33	MA	Q434905	E000264	1
I	33	MD	Q881245	P000506	1
III	33	MD	Q368739	P000161	1
I	33	ME	Q273546	H000121	1
II	33	ME	Q968068	F000099	1
I	33	MI	Q503119	C000233	1
II	33	MI	Q1064233	S001033	1
I	33	MO	Q1607232	G000146	1
III	33	MO	Q1176322	A000322	1
I	33	MS	Q545567	A000048	1
II	33	MS	Q880583	B000900	1
II	33	NC	Q361245	R000144	1
III	33	NC	Q925084	B000022	1
II	33	NH	Q5077912	A000323	1
II	33	NH	Q884565	W000511	1
III	33	NH	Q1339780	W000285	1
III	33	NH	Q939960	N000140	1
I	33	NJ	Q200884	T000231	1
II	33	NJ	Q1522975	W000772	1
