term	class	state	senator	senator_name	rowvalChk
5	III	MD	L000377	James Lloyd	1
5	II	NC	M000166	Alexander Martin	1
5	III	NC	B000563	Timothy Bloodworth	1
5	II	NH	L000364	Samuel Livermore	1
5	III	NH	L000067	John Langdon	1
5	I	NJ	D000069	Franklin Davenport	1
5	I	NJ	R000550	John Rutherfurd	1
5	II	NJ	S000941	Richard Stockton	1
5	I	NY	H000661	John sloss Hobart	1
5	I	NY	N000142	William North	1
5	I	NY	S000154	Philip john Schuyler	1
5	I	NY	W000202	James Watson	1
5	III	NY	L000120	John Laurance	1
5	I	PA	R000448	James Ross	1
5	III	PA	B000474	William Bingham	1
5	I	RI	F000313	Theodore Foster	1
5	II	RI	B000739	William Bradford	0
5	II	RI	G000427	Ray Greene	1
5	II	SC	H000982	John Hunter	1
5	II	SC	P000354	Charles Pinckney	1
5	III	SC	R000092	Jacob Read	1
5	I	TN	C000572	William Cocke	1
5	II	TN	A000197	Joseph inslee Anderson	1
5	II	TN	B000570	William Blount	1
5	I	TN	J000005	Andrew Jackson	1
5	I	TN	S000524	Daniel Smith	1
5	I	VA	M000226	Stevens thomson Mason	1
5	II	VA	T000107	Henry Tazewell	1
5	I	VT	C000369	Nathaniel Chipman	1
5	I	VT	T000264	Isaac Tichenor	1
5	III	VT	P000026	Elijah Paine	1
6	I	CT	H000618	James Hillhouse	1
6	III	CT	T000348	Uriah Tracy	1
6	I	DE	L000115	Henry Latimer	1
6	I	DE	W000392	Samuel White	1
6	II	DE	W000287	William hill Wells	1
6	II	GA	B000084	Abraham Baldwin	1
6	III	GA	G000526	James Gunn	1
6	II	KY	B000929	John Brown	1
6	III	KY	M000155	Humphrey Marshall	1
6	I	MA	G000286	Benjamin Goodhue	1
6	I	MA	M000221	Jonathan Mason	1
6	II	MA	D000296	Samuel Dexter	1
6	II	MA	F000301	Dwight Foster	1
6	III	MD	H000629	William Hindman	1
6	I	MD	H000841	John eager Howard	1
6	III	MD	L000377	James Lloyd	1
6	II	NC	F000344	Jesse Franklin	1
6	III	NC	B000563	Timothy Bloodworth	1
6	II	NH	L000364	Samuel Livermore	1
6	III	NH	L000067	John Langdon	1
6	I	NJ	O000041	Aaron Ogden	1
6	I	NJ	S000150	James Schureman	1
6	II	NJ	D000165	Jonathan Dayton	1
6	I	NY	M000976	Gouverneur Morris	1
6	I	NY	W000202	James Watson	1
6	III	NY	A000282	John, jr. Armstrong	1
6	III	NY	L000120	John Laurance	1
6	I	PA	R000448	James Ross	1
6	III	PA	B000474	William Bingham	1
6	I	RI	F000313	Theodore Foster	1
6	II	RI	G000427	Ray Greene	1
6	II	SC	P000354	Charles Pinckney	1
6	III	SC	R000092	Jacob Read	1
6	II	TN	C000572	William Cocke	1
6	I	TN	A000197	Joseph inslee Anderson	1
6	I	VA	M000226	Stevens thomson Mason	1
6	II	VA	N000086	Wilson cary Nicholas	1
6	I	VT	C000369	Nathaniel Chipman	1
6	III	VT	P000026	Elijah Paine	1
7	I	CT	H000618	James Hillhouse	1
7	III	CT	T000348	Uriah Tracy	1
7	I	DE	W000392	Samuel White	1
7	II	DE	W000287	William hill Wells	1
7	II	GA	B000084	Abraham Baldwin	1
7	III	GA	J000017	James Jackson	1
7	II	KY	B000929	John Brown	1
7	III	KY	B000787	John Breckinridge	1
7	I	MA	M000221	Jonathan Mason	1
7	II	MA	F000301	Dwight Foster	1
7	III	MD	H000629	William Hindman	1
7	I	MD	H000841	John eager Howard	1
7	III	MD	W000768	Robert Wright	1
7	II	NC	F000344	Jesse Franklin	1
7	III	NC	S000955	David Stone	1
7	II	NH	L000364	Samuel Livermore	1
7	II	NH	O000060	Simeon Olcott	1
7	III	NH	P000393	William Plumer	1
7	III	NH	S000312	James Sheafe	1
7	I	NJ	O000041	Aaron Ogden	1
7	II	NJ	D000165	Jonathan Dayton	1
7	I	NY	M000976	Gouverneur Morris	1
7	III	NY	A000282	John, jr. Armstrong	1
7	III	NY	C000525	De witt Clinton	1
7	III	PA	M001066	John peter gabriel Muhlenberg	1
7	I	PA	R000448	James Ross	1
7	III	PA	L000401	George Logan	1
7	I	RI	F000313	Theodore Foster	1
7	II	RI	E000114	Christopher Ellery	1
7	II	RI	G000427	Ray Greene	0
7	II	SC	P000354	Charles Pinckney	1
7	II	SC	S001073	Thomas Sumter	1
7	III	SC	B001186	Pierce Butler	1
7	III	SC	C000627	John ewing Colhoun	1
7	II	TN	C000572	William Cocke	1
7	I	TN	A000197	Joseph inslee Anderson	1
7	I	VA	M000226	Stevens thomson Mason	1
7	II	VA	N000086	Wilson cary Nicholas	1
7	III	VT	B000745	Stephen row Bradley	1
7	I	VT	C000369	Nathaniel Chipman	1
7	III	VT	P000026	Elijah Paine	1
8	I	CT	H000618	James Hillhouse	1
8	III	CT	T000348	Uriah Tracy	1
8	I	DE	W000392	Samuel White	1
8	II	DE	B000249	James asheton, sr. Bayard	1
8	II	DE	W000287	William hill Wells	1
8	II	GA	B000084	Abraham Baldwin	1
8	III	GA	J000017	James Jackson	1
8	II	KY	B000929	John Brown	1
8	III	KY	B000787	John Breckinridge	1
8	I	MA	A000041	John quincy Adams	1
8	II	MA	P000324	Timothy Pickering	1
8	I	MD	S000609	Samuel Smith	1
8	III	MD	W000768	Robert Wright	1
8	II	NC	F000344	Jesse Franklin	1
8	III	NC	S000955	David Stone	1
8	II	NH	O000060	Simeon Olcott	1
8	III	NH	P000393	William Plumer	1
8	I	NJ	C000671	John Condit	1
8	II	NJ	D000165	Jonathan Dayton	1
8	III & I	NY	A000282	John, jr. Armstrong	0
8	I	NY	B000049	Theodorus Bailey	1
